TYPE;CONF_PATH;VERSION
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_Authentification/home/serv_authentification/service/node_modules/mongoose/package.json;4.3.7
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_Authentification/home/serv_authentification/service/node_modules/password-hash/package.json;1.2.2
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_Authentification/home/serv_authentification/service/node_modules/underscore/package.json;1.8.3
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_Card/home/serv_card/service/node_modules/mongoose/package.json;4.3.7
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_Card/home/serv_card/service/node_modules/underscore/package.json;1.8.3
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_Contributor/home/serv_contributor/service/node_modules/mongoose/package.json;4.3.7
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_Contributor/home/serv_contributor/service/node_modules/underscore/package.json;1.8.3
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_Group/home/serv_group/service/node_modules/mongoose/package.json;4.3.7
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_Group/home/serv_group/service/node_modules/underscore/package.json;1.8.3
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_Mail/home/serv_mail/service/node_modules/mongoose/package.json;4.3.7
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_Mail/home/serv_mail/service/node_modules/nodemailer/package.json;1.3.4
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_Mail/home/serv_mail/service/node_modules/underscore/package.json;1.7.0
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_PasswordReset/home/serv_passwordreset/service/node_modules/mongoose/package.json;4.3.7
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_PasswordReset/home/serv_passwordreset/service/node_modules/password-hash/package.json;1.2.2
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_PasswordReset/home/serv_passwordreset/service/node_modules/underscore/package.json;1.8.3
